checked in,company name,drive time,driver status,entry count,event date,last updated,question_1,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,registered,signed waiver,survey complete,timestamp,vehicle
yes,,3:30 PM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,Not for me,,,,,,,,,,,yes,,,Honda Clarity
no,,2:30 PM,,2,,,,5,5,,,5-10 miles,Undesirable,Not for me,,,,7 (Extremely Important),6,5,3,6,3,No,no,,,Tesla Model X
yes,,2:30 PM,,2,,,,3,3,,,11-30 miles,Undesirable,No opinion,,,,6,7 (Extremely Important),6,4,4,4,Yes,no,,,Toyota Prius Prime
yes,,,,,,,,7 (Extremely Important),7 (Extremely Important),,,11-30 miles,Undesirable,No opinion,,,,7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),Yes,no,,,
no,,3:00 PM,,,,,NO,7 (Extremely Important),7 (Extremely Important),,,Over 75 miles,Very Desirable,For me,,,,7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),Yes,no,,,BMW i3
no,,3:30 PM,,2,,,,7 (Extremely Important),7 (Extremely Important),,,Over 75 miles,Very Desirable,For me,,,,7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),7 (Extremely Important),Yes,no,,,BMW i3
no,,9:00 AM,,,,,NO,,,,,31-50 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Honda Clarity
yes,,2:00 PM,,,,,NO,,,,,51-75 miles,Somewhat Desirable,No opinion,,,,,,,,,,,yes,,,Mercedes GLE
yes,,10:00 AM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,yes,,,Mercedes GLE
yes,,9:00 AM,,,,,NO,,,,,11-30 miles,Somewhat Desirable,No opinion,,,,,,,,,,,yes,,,Mercedes GLE
yes,,9:00 AM,,,,,NO,,,,,31-50 miles,Somewhat Desirable,No opinion,,,,,,,,,,Yes,no,,,Mercedes GLE
yes,,2:30 PM,,,,,NO,6,6,,,5-10 miles,Very Desirable,For me,,,,3,4,1 (Not at all important),2,4,4,Yes,no,,,Chevy Bolt
no,,1:00 PM,,,,,NO,7 (Extremely Important),7 (Extremely Important),,,11-30 miles,Very Desirable,For me,,,,5,7 (Extremely Important),7 (Extremely Important),1 (Not at all important),5,1 (Not at all important),Yes,no,,,Chevy Bolt
no,,3:00 PM,,,,,NO,7 (Extremely Important),7 (Extremely Important),,,11-30 miles,Very Desirable,For me,,,,5,7 (Extremely Important),7 (Extremely Important),3,5,2,Yes,no,,,Chevy Bolt
yes,,2:00 PM,,,,,NO,7 (Extremely Important),7 (Extremely Important),,,11-30 miles,Very Desirable,For me,,,,4,5,3,3,3,4,Yes,no,,,Chevy Volt
yes,,9:30 AM,,,,,NO,7 (Extremely Important),6,,,11-30 miles,Very Desirable,For me,,,,4,5,5,7 (Extremely Important),5,2,Yes,yes,,,Chrysler Pacifica
